Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740555515226,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,51.726863861083984,0,21.968963623046875,0,23.883155822753906,0,0,0,0,0,0,0,39.25257873535156,0,83.75045776367188,0,77.33892822265625,0,13.607818603515625,0,0,193437.46362304688,48983.997619628906,1029.3546752929688,16794431488,8047271936,8073973760,0
200,1740555515226,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,193437.48211669922,48983.997619628906,1029.3546752929688,16794431488,8047271936,8074760192,0
200,1740555515427,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,12.949119567871094,1.5055313110351563,1.49798583984375,1.4630661010742188,1.7015533447265625,1.4549942016601563,1.4537353515625,1.4539260864257813,1.4564895629882813,1.456298828125,1.4558181762695313,1.4555282592773438,12.827720642089844,1.468292236328125,17.307762145996094,1.4608001708984375,6.305305480957031,1.4640884399414063,1.510467529296875,1.4652481079101563,0,193439.03173828125,48984.93762207031,1029.3546752929688,16794431488,8047271936,8080105472,0
200,1740555515627,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,0.6261749267578125,0.7369461059570313,0.2796478271484375,0.27950286865234375,0.31049346923828125,0.28070068359375,0.2807464599609375,0.282989501953125,0.28533172607421875,0.2874755859375,0.28478240966796875,0.28493499755859375,0.30670928955078125,0.488739013671875,15.25799560546875,0.2754669189453125,0.323699951171875,0.28513336181640625,0.29046630859375,0.29021453857421875,0,193439.54290771484,48984.99151611328,1029.3546752929688,16794431488,8047271936,8080064512,0
200,1740555515827,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,0.640472412109375,0.624603271484375,0.6008529663085938,0.6008529663085938,1.5397796630859375,0.9459609985351563,0.8804550170898438,0.9182205200195313,0.8697738647460938,1.0421524047851563,0.816192626953125,0.7722854614257813,0.6003570556640625,0.6003036499023438,38.248374938964844,0.6282424926757813,8.78741455078125,0.6193161010742188,0.600555419921875,0.600555419921875,0,193440.6488647461,48985.672119140625,1029.355224609375,16794431488,8047271936,8078389248,0
200,1740555516028,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,0,0,0,0,5.737770080566406,0,0,0,0,0,0,0,0,0,19.218612670898438,0,1.54205322265625,0,0,0,0,193441.08990478516,48985.727600097656,1029.355224609375,16794431488,8047271936,8073388032,0
199,1740555516229,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.160888671875,0,3.8861160278320313,0,0,0,0,193441.55102539063,48985.776794433594,1029.3553466796875,16794431488,8047271936,8065286144,0
200,1740555516429,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,1.4061126708984375,1.4060134887695313,1.4052658081054688,1.4052200317382813,1.4036865234375,1.4033889770507813,1.403289794921875,1.4032363891601563,1.4018478393554688,1.4016036987304688,1.401458740234375,1.4018020629882813,1.4050674438476563,1.4049224853515625,10.361351013183594,1.4021453857421875,2.7366714477539063,1.4043731689453125,1.4050216674804688,1.4049224853515625,0,193441.82543945313,48985.81787109375,1029.3553466796875,16794431488,8047271936,8065101824,0
199,1740555516630,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,0.1577911376953125,0.0791168212890625,0,0,0,0,0,0,0,0,0,0,0,0,19.8243408203125,0,0,0,0,0,0,193442.38635253906,48985.87744140625,1029.3553466796875,16794431488,8047271936,8064634880,0
200,1740555516830,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,16.373016357421875,0,0,0,20.845565795898438,4.624397277832031,2.8252944946289063,0.46178436279296875,12.180145263671875,0,0,0,6.95159912109375,0,38.66345977783203,0,21.791656494140625,0,0,0,0,193444.17388916016,48987.128356933594,1029.3681030273438,16794431488,8047271936,8073764864,0
200,1740555517031,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,16.201698303222656,0.30303192138671875,4.519172668457031,0,0,0,0,0,0,0,0,0,3.1114883422851563,0,49.55884552001953,0,46.54978942871094,0,3.3497314453125,0,0,193449.3851928711,48991.52130126953,1029.3742065429688,16794431488,8047271936,8083509248,0
200,1740555517231,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,23.074180603027344,0.550201416015625,0.09812164306640625,0.0982666015625,0.24068450927734375,0.11981964111328125,0.1201629638671875,0.1201629638671875,0.11852264404296875,0.11846923828125,0.118316650390625,0.11821746826171875,0.1503448486328125,0.0980682373046875,49.489009857177734,0.09961700439453125,53.20342254638672,0.0961761474609375,0.0982208251953125,0.09816741943359375,0,193453.83404541016,48995.16931152344,1029.3742065429688,16794431488,8047271936,8084869120,0
200,1740555517431,2300,2300,2300,2300,1488,2300,2300,2300,1488,2300,2300,2300,1506,2300,2300,2300,1506,2300,2300,2300,22.02857208251953,0.474884033203125,0.0677947998046875,0.06789398193359375,0.07703399658203125,0.0769805908203125,0.07683563232421875,0.0769805908203125,0.0776824951171875,0.077484130859375,0.07738494873046875,0.0771331787109375,0.05261993408203125,0.05356597900390625,45.54134750366211,0.0613555908203125,53.347686767578125,0.0659027099609375,0.06789398193359375,0.0679473876953125,0,193458.41510009766,48998.930114746094,1029.3748779296875,16794431488,8047271936,8085299200,0
