Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740563780963,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,27.232681274414063,28.69830322265625,30.221229553222656,26.2899169921875,26.227249145507813,26.229042053222656,26.23082733154297,26.224563598632813,82.87627410888672,26.049972534179688,26.032066345214844,26.023117065429688,26.52269744873047,29.281150817871094,95.9030532836914,26.159202575683594,89.45771026611328,26.13861083984375,35.05860137939453,26.2952880859375,0,53632.67517089844,147506.86334228516,1053.6014404296875,16794431488,8047271936,9874329600,0
200,1740563780963,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,53632.76208496094,147506.93780517578,1053.6014404296875,16794431488,8047271936,9874542592,0
200,1740563781163,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,2.6850967407226563,0,5.8443603515625,0,0,0,0,0,1.1771240234375,0,0,0,0,5.141502380371094,31.399261474609375,0,32.99211883544922,0,13.010292053222656,0,0,53636.47100830078,147509.84454345703,1053.6019897460938,16794431488,8047271936,9875218432,0
201,1740563781364,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,3.3034896850585938,1.5020370483398438,1.1400299072265625,1.1398849487304688,1.1439895629882813,1.1443328857421875,1.1412506103515625,1.14105224609375,1.13763427734375,1.1375808715820313,1.1368026733398438,1.13641357421875,1.480377197265625,1.480224609375,19.492782592773438,1.1220321655273438,3.9074935913085938,1.1460418701171875,1.4040298461914063,1.1432571411132813,0,53637.04113769531,147509.96936035156,1053.6019897460938,16794431488,8047271936,9875406848,0
199,1740563781566,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.201560974121094,0,6.118415832519531,0,0,0,0,53637.76086425781,147510.01904296875,1053.6027221679688,16794431488,8047271936,9873289216,0
200,1740563781765,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,2.4579315185546875,2.4583740234375,2.4568862915039063,2.4571380615234375,2.4663619995117188,2.4665145874023438,2.4665603637695313,2.46661376953125,2.4653244018554688,2.4643325805664063,2.4657669067382813,2.4640350341796875,2.4592666625976563,2.4596633911132813,36.36137771606445,2.4192962646484375,15.444984436035156,2.459564208984375,2.455596923828125,2.4556961059570313,0,53638.587829589844,147510.15753173828,1053.6027221679688,16794431488,8047271936,9872011264,0
199,1740563781966,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48246002197265625,24.718605041503906,0,20.734390258789063,0,0,0,0,53639.83319091797,147510.7393798828,1053.6027221679688,16794431488,8047271936,9880809472,0
200,1740563782166,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,6.072471618652344,1.0394821166992188,0.249481201171875,0.2495269775390625,0.26161956787109375,0.2613677978515625,0.2615203857421875,0.26116943359375,0.26091766357421875,0.2608184814453125,0.2606658935546875,0.26007080078125,1.8438644409179688,1.9261474609375,30.851333618164063,0.24323272705078125,32.446067810058594,0.24687957763671875,0.317718505859375,0.249176025390625,0,53642.07586669922,147512.1708984375,1053.602783203125,16794431488,8047271936,9881030656,0
199,1740563782367,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.09484100341797,0,5.0570068359375,0,0,0,0,53642.711486816406,147512.22235107422,1053.602783203125,16794431488,8047271936,9881292800,0
200,1740563782567,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,0,0,0,0,0,0,0,0,18.457611083984375,0,0,0,0,0,35.83418273925781,0,17.04840850830078,0,7.3369903564453125,0,0,53644.48846435547,147513.25268554688,1053.6090698242188,16794431488,8047271936,9877819392,0
200,1740563782767,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,16.92321014404297,3.1140975952148438,11.870109558105469,3.0275802612304688,9.502555847167969,3.2007675170898438,3.1863632202148438,3.0431671142578125,5.510948181152344,4.810516357421875,4.430809020996094,3.449371337890625,18.119171142578125,4.046653747558594,40.498626708984375,3.0204315185546875,48.66459655761719,3.021270751953125,18.43860626220703,3.0278244018554688,0,53648.97424316406,147516.8900756836,1053.6204833984375,16794431488,8047271936,9927634944,0
200,1740563782967,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,1.2518386840820313,0.134063720703125,0,0,0,0,0,0,0.1417694091796875,0,0,0.011810302734375,0,2.4256591796875,40.066829681396484,0,43.85431671142578,0,22.31507110595703,0,0,53655.0634765625,147522.16693115234,1053.6204833984375,16794431488,8047271936,9957847040,0
200,1740563783167,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,1.4983673095703125,0,0,0,0,0,0,0,0,0,0,0,0,0.4416351318359375,42.26839828491211,0,46.08441925048828,0,20.1800537109375,0,0,53659.69421386719,147526.00244140625,1053.6217041015625,16794431488,8047271936,9965641728,0
200,1740563783368,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,2.2756423950195313,0.08788299560546875,0.06566619873046875,0.06566619873046875,0.073455810546875,0.07330322265625,0.07300567626953125,0.07300567626953125,0.0731048583984375,0.07305145263671875,0.0731048583984375,0.07315826416015625,0.069061279296875,2.095428466796875,38.02569580078125,0.0677642822265625,49.9344596862793,0.06751251220703125,18.67151641845703,0.063568115234375,0,53664.309143066406,147529.7598876953,1053.6217041015625,16794431488,8047271936,9971212288,0
200,1740563783568,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,3.6209869384765625,1.6100616455078125,1.60205078125,1.601898193359375,1.7139205932617188,1.6056365966796875,1.6051483154296875,1.6050491333007813,2.2613601684570313,1.6740875244140625,1.6050033569335938,1.6048507690429688,2.1063156127929688,2.9182586669921875,42.023216247558594,1.6003799438476563,49.06697082519531,1.5995407104492188,22.09564971923828,1.600128173828125,0,53668.5654296875,147533.41943359375,1053.6217041015625,16794431488,8047271936,9972178944,0
200,1740563783768,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,0.6067886352539063,0,0,0,0,0,0,0,0,0,0,0,0,0.4362335205078125,40.81745910644531,0,47.52338409423828,0,17.662452697753906,0,0,53672.889099121094,147536.92083740234,1053.6224975585938,16794431488,8047271936,9972428800,0
200,1740563783969,2300,2300,2300,2300,2300,2300,2300,2300,1488,2300,2300,2300,2300,2300,2300,2300,1506,2300,2300,2300,2.6252212524414063,0.184600830078125,0.04113006591796875,0.0411834716796875,0.06354522705078125,0.0523681640625,0.0524139404296875,0.0528106689453125,0.08316802978515625,0.05326080322265625,0.05286407470703125,0.0529632568359375,0.26232147216796875,2.1097640991210938,41.45433044433594,0.03399658203125,46.27821731567383,0.0340423583984375,20.569320678710938,0.03389739990234375,0,53678.18054199219,147541.34741210938,1053.6224975585938,16794431488,8047271936,9973411840,0
