Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740562038465,2300,1506,1506,2300,1488,2300,1488,1488,1488,1488,1488,1488,1506,2300,2300,2300,2300,2300,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,26513.86541748047,125621.74060058594,1048.8258666992188,16794431488,8047271936,8933081088,0
200,1740562038465,2300,1506,1506,2300,1488,2300,1488,1488,1488,1488,1488,1488,1506,2300,2300,2300,2300,2300,1506,2300,9.0594482421875,49.24126434326172,8.706321716308594,8.706321716308594,8.79425048828125,8.79425048828125,8.780067443847656,8.767303466796875,8.921882629394531,8.903450012207031,8.897773742675781,8.899192810058594,13.609031677246094,8.753120422363281,8.731849670410156,99.69792175292969,66.70779418945313,8.78857421875,29.501358032226563,8.696395874023438,0,26514.046447753906,125621.87976074219,1048.8258666992188,16794431488,8047271936,8933183488,0
199,1740562038666,2300,1506,1506,2300,1488,2300,1488,1488,1488,1488,1488,1488,1506,2300,2300,2300,2300,2300,1506,2300,0.5210342407226563,24.054458618164063,0.22086334228515625,0.01416015625,0.06682586669921875,5.689666748046875,3.5706939697265625,1.7474822998046875,1.8487548828125,1.653228759765625,1.134429931640625,1.0146865844726563,0.44559478759765625,0.01816558837890625,0.02687835693359375,33.98612976074219,21.13324737548828,0.040191650390625,0.08672332763671875,0.015838623046875,0,26516.70263671875,125623.74755859375,1048.8258666992188,16794431488,8047271936,8915496960,0
200,1740562038866,2300,1506,1506,2300,1488,2300,1488,1488,1488,1488,1488,1488,1506,2300,2300,2300,2300,2300,1506,2300,1.5504531860351563,8.232307434082031,0,0,0,7.064262390136719,3.6857757568359375,0,1.5366134643554688,0,0,0,0.07312774658203125,0,0,18.77416229248047,11.537559509277344,0,0.03763580322265625,0,0,26517.420166015625,125623.94030761719,1048.8258666992188,16794431488,8047271936,8914161664,0
199,1740562039067,2300,1506,1506,2300,1488,2300,1488,1488,1488,1488,1488,1488,1506,2300,2300,2300,2300,2300,1506,2300,1.3815994262695313,1.2683181762695313,0.79248046875,0.7924346923828125,0.7922897338867188,0.7919387817382813,0.791839599609375,0.7917404174804688,0.7935714721679688,0.7933731079101563,0.7938156127929688,0.7930755615234375,0.790557861328125,0.790557861328125,0.791839599609375,19.050323486328125,1.0597686767578125,0.795989990234375,0.7919921875,0.7918930053710938,0,26518.130310058594,125623.97296142578,1048.8262329101563,16794431488,8047271936,8914149376,0
200,1740562039267,2300,1506,1506,2300,1488,2300,1488,1488,1488,1488,1488,1488,1506,2300,2300,2300,2300,2300,1506,2300,0,2.484344482421875,0.5800628662109375,0,0,55.74980163574219,15.581809997558594,5.370887756347656,8.999641418457031,5.709716796875,4.159812927246094,0,3.9278717041015625,0,0,28.350318908691406,25.879119873046875,0,0,0,0,26519.225158691406,125624.32678222656,1048.8262329101563,16794431488,8047271936,8915832832,0
200,1740562039468,2300,1506,1506,2300,1488,2300,1488,1488,1488,1488,1488,1488,1506,2300,2300,2300,2300,2300,1506,2300,0,1.5617904663085938,0,0,0,0.09192657470703125,0,0,18.320281982421875,0,0,0,4.761985778808594,0,0,7.18621826171875,8.027793884277344,0,0,0,0,26519.83026123047,125624.40606689453,1048.8262329101563,16794431488,8047271936,8910913536,0
200,1740562039669,2300,1506,1506,2300,1488,2300,1488,1488,1488,1488,1488,1488,1506,2300,2300,2300,2300,2300,1506,2300,0.7450027465820313,6.328887939453125,0,0,0,2.3130722045898438,0,0,1.7261962890625,0,0,0,0,0,0,32.6365966796875,15.48284912109375,0,0,0,0,26521.926025390625,125625.69860839844,1048.8262329101563,16794431488,8047271936,8906756096,0
199,1740562039870,2300,1506,1506,2300,1488,2300,1488,1488,1488,1488,1488,1488,1506,2300,2300,2300,2300,2300,1506,2300,0.34030914306640625,1.17266845703125,0.723876953125,0.0523529052734375,0.0560760498046875,5.35003662109375,1.5102157592773438,1.121368408203125,2.7486038208007813,0.41095733642578125,0.1509857177734375,0.05757904052734375,2.1375732421875,0.05059814453125,0.06215667724609375,15.645034790039063,17.768539428710938,0.03386688232421875,0.773773193359375,0.05014801025390625,0,26522.51690673828,125625.8402709961,1048.8262329101563,16794431488,8047271936,8902852608,0
199,1740562040070,2300,1506,1506,2300,1488,2300,1488,1488,1488,1488,1488,1488,1506,2300,2300,2300,2300,2300,1506,2300,2.7683868408203125,17.548507690429688,2.0835647583007813,1.7096099853515625,1.7304916381835938,5.780616760253906,3.2652816772460938,2.1721725463867188,10.599533081054688,3.6750717163085938,1.7314376831054688,1.7306442260742188,18.727035522460938,1.704681396484375,1.7050247192382813,43.6589241027832,33.52922821044922,1.7127532958984375,14.347312927246094,1.704925537109375,0,26525.90362548828,125628.5532836914,1048.843994140625,16794431488,8047271936,8926318592,0
