Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740655047696,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,7.692307949066162,11.111111640930176,23.076923370361328,29.629629135131836,32,7.407407283782959,11.111111640930176,7.692307949066162,11.538461685180664,38.46154022216797,20,7.692307949066162,17718.992736816406,144117.08477783203,113920.67120361328,131.130615234375,16567197696,2147479552,2623471616,786432
199,1740655047696,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,7.692307949066162,11.111111640930176,23.076923370361328,29.629629135131836,32,7.407407283782959,11.111111640930176,7.692307949066162,11.538461685180664,38.46154022216797,20,7.692307949066162,17718.993774414063,144117.09216308594,113920.6762084961,131.130615234375,16567197696,2147479552,2623471616,786432
199,1740655047896,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,52.38095474243164,0,20,21.052631378173828,4.761904716491699,0,0,9.523809432983398,0,26.3157901763916,9.523809432983398,21.052631378173828,17719.112243652344,144118.01483154297,113921.42724609375,131.130615234375,16567197696,2147479552,2621087744,786432
199,1740655048096,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,52.38095474243164,0,20,21.052631378173828,4.761904716491699,0,0,9.523809432983398,0,26.3157901763916,9.523809432983398,21.052631378173828,17719.230346679688,144118.88763427734,113922.1343383789,131.130615234375,16567197696,2147479552,2623926272,786432
199,1740655048296,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,34.21052551269531,0,18.421052932739258,2.4390242099761963,15.384615898132324,17.948719024658203,0,10.256410598754883,0,17.5,2.5641026496887207,19.047618865966797,17719.350036621094,144119.74060058594,113922.81384277344,131.130615234375,16567197696,2147479552,2625781760,786432
199,1740655048496,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,4.761904716491699,0,25,0,0,0,0,33.333335876464844,0,0,10,52.6315803527832,17719.466552734375,144120.57580566406,113923.4794921875,131.130615234375,16567197696,2147479552,2624626688,786432
199,1740655048696,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,26.3157901763916,10.526315689086914,11.111111640930176,0,0,0,0,10,0,36.842105865478516,5.263157844543457,0,17719.583374023438,144121.44512939453,113924.13897705078,131.130615234375,16567197696,2147479552,2626949120,786432
199,1740655048896,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,33.333335876464844,45,28.571430206298828,0,0,0,0,5.263157844543457,0,0,9.523809432983398,0,17719.70037841797,144122.28692626953,113924.81372070313,131.130615234375,16567197696,2147479552,2629013504,786432
199,1740655049097,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,15.789472579956055,40,15.789472579956055,0,30.000001907348633,19.047618865966797,0,0,0,0,0,0,17719.816955566406,144123.09576416016,113925.45458984375,131.130615234375,16567197696,2147479552,2630082560,786432
199,1740655049297,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,15.789472579956055,40,15.789472579956055,0,30.000001907348633,19.047618865966797,0,0,0,0,0,0,17719.93408203125,144123.94012451172,113926.13122558594,131.130615234375,16567197696,2147479552,2630942720,786432
199,1740655049497,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,15.000000953674316,0,0,63.15789031982422,5,26.3157901763916,0,0,0,0,0,0,17720.04998779297,144124.76953125,113926.79327392578,131.130615234375,16567197696,2147479552,2629578752,786432
199,1740655049697,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,22.22222328186035,0,33.333335876464844,10,4.761904716491699,19.047618865966797,30.000001907348633,0,0,0,0,0,17720.167602539063,144125.6141357422,113927.46960449219,131.130615234375,16567197696,2147479552,2631548928,786432
199,1740655049897,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,23.809524536132813,21.052631378173828,5,0,33.333335876464844,0,0,33.333335876464844,0,0,0,4.761904716491699,17720.28448486328,144126.43518066406,113928.11846923828,131.130615234375,16567197696,2147479552,2634981376,786432
199,1740655050097,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,5.263157844543457,50,28.571430206298828,0,0,0,0,0,9.090909004211426,0,0,35,17720.402099609375,144127.27630615234,113928.79083251953,131.130615234375,16567197696,2147479552,2630950912,786432
199,1740655050297,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,10,28.571430206298828,10,0,4.761904716491699,5.263157844543457,0,30.000001907348633,0,5,0,25,17720.51806640625,144128.0927734375,113929.43927001953,131.130615234375,16567197696,2147479552,2632200192,786432
199,1740655050497,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,0,0,0,0,30.000001907348633,15.000000953674316,10,35,0,25,0,0,17720.635620117188,144128.92248535156,113930.10168457031,131.130615234375,16567197696,2147479552,2630959104,786432
199,1740655050697,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,0,0,0,0,0,4.761904716491699,31.57894515991211,25,0,20,30.000001907348633,14.285715103149414,17720.751831054688,144129.73181152344,113930.74395751953,131.130615234375,16567197696,2147479552,2629734400,786432
199,1740655050898,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,14.285715103149414,0,0,0,5.263157844543457,26.3157901763916,5,47.36842346191406,0,21.052631378173828,0,0,17720.869079589844,144130.56188964844,113931.4052734375,131.130615234375,16567197696,2147479552,2632622080,786432
199,1740655051098,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,5.263157844543457,0,0,4.761904716491699,25,0,25,30.000001907348633,0,15.789472579956055,0,5.263157844543457,17720.9853515625,144131.38665771484,113932.06280517578,131.130615234375,16567197696,2147479552,2634944512,786432
199,1740655051298,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,5.263157844543457,0,0,5.263157844543457,5,5.263157844543457,61.904762268066406,0,0,25,4.761904716491699,0,17721.102661132813,144132.20947265625,113932.71618652344,131.130615234375,16567197696,2147479552,2635694080,786432
199,1740655051498,1099,1100,1099,1199,1100,1099,1100,1099,1099,1100,1100,1200,0,0,26.3157901763916,0,52.6315803527832,0,5.263157844543457,10,0,15.789472579956055,0,0,17721.218688964844,144133.03607177734,113933.3759765625,131.130615234375,16567197696,2147479552,2636128256,786432
