Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740649200763,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,14.814814567565918,11.111111640930176,10.714285850524902,7.407407283782959,32.14285659790039,25.925926208496094,3.846153974533081,34.615386962890625,25.925926208496094,11.111111640930176,7.407407283782959,14.285715103149414,14127.525390625,116526.81713867188,92467.98156738281,124.33026123046875,16567197696,2147479552,2622263296,786432
199,1740649200763,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,14.814814567565918,11.111111640930176,10.714285850524902,7.407407283782959,32.14285659790039,25.925926208496094,3.846153974533081,34.615386962890625,25.925926208496094,11.111111640930176,7.407407283782959,14.285715103149414,14127.5263671875,116526.82360839844,92467.98626708984,124.33026123046875,16567197696,2147479552,2622263296,786432
199,1740649200963,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,0,4.761904716491699,35,57.142860412597656,0,0,0,0,25,25,0,26.3157901763916,14127.6455078125,116527.7593383789,92468.74487304688,124.33026123046875,16567197696,2147479552,2624577536,786432
199,1740649201163,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,0,0,21.052631378173828,31.57894515991211,0,0,0,0,15.000000953674316,0,0,75,14127.763916015625,116528.69165039063,92469.44818115234,124.33026123046875,16567197696,2147479552,2625556480,786432
199,1740649201363,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,0,0,5,35,0,0,0,0,25,15.000000953674316,5.263157844543457,47.619049072265625,14127.88427734375,116529.53930664063,92470.12622070313,124.33026123046875,16567197696,2147479552,2627235840,786432
199,1740649201563,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,0,0,0,9.523809432983398,0,0,0,0,16.666667938232422,55,28.571430206298828,10,14128.002258300781,116530.39123535156,92470.79986572266,124.33026123046875,16567197696,2147479552,2628296704,786432
199,1740649201764,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,0,0,4.761904716491699,0,0,0,4.761904716491699,15.789472579956055,30.000001907348633,28.571430206298828,26.3157901763916,5.263157844543457,14128.120666503906,116531.27117919922,92471.47589111328,124.33026123046875,16567197696,2147479552,2627346432,786432
199,1740649201964,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,0,0,31.57894515991211,0,35,0,0,20,0,26.3157901763916,0,9.523809432983398,14128.237976074219,116532.10858154297,92472.13928222656,124.33026123046875,16567197696,2147479552,2629128192,786432
199,1740649202164,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,0,0,31.57894515991211,0,35,0,0,20,0,26.3157901763916,0,9.523809432983398,14128.354614257813,116532.93353271484,92472.79864501953,124.33026123046875,16567197696,2147479552,2629632000,786432
199,1740649202364,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,17.948719024658203,12.820513725280762,5,0,4.878048419952393,5,17.948719024658203,20.512821197509766,0,2.5,0,23.68421173095703,14128.471557617188,116533.76483154297,92473.46154785156,124.33026123046875,16567197696,2147479552,2630406144,786432
199,1740649202564,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,42.85714340209961,15.000000953674316,9.523809432983398,5,0,0,0,25,0,0,0,28.571430206298828,14128.589538574219,116534.60614013672,92474.12921142578,124.33026123046875,16567197696,2147479552,2632388608,786432
199,1740649202764,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,10,0,0,4.761904716491699,25,10,5,20,0,26.3157901763916,28.571430206298828,0,14128.706848144531,116535.43682861328,92474.79113769531,124.33026123046875,16567197696,2147479552,2631512064,786432
199,1740649202964,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,0,5,10.526315689086914,0,10,55,20,15.789472579956055,4.761904716491699,0,0,0,14128.823913574219,116536.27331542969,92475.45794677734,124.33026123046875,16567197696,2147479552,2630623232,786432
199,1740649203164,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,9.523809432983398,5,0,0,0,31.57894515991211,20,15.789472579956055,0,25,0,0,14128.941101074219,116537.09704589844,92476.11218261719,124.33026123046875,16567197696,2147479552,2631491584,786432
199,1740649203364,1200,1199,1200,1200,1200,1200,1200,1200,1200,1200,1199,1200,35,15.000000953674316,5,0,0,30.000001907348633,5,25,0,0,10,0,14129.058654785156,116537.93560791016,92476.7816772461,124.33026123046875,16567197696,2147479552,2632859648,786432
