Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740642750256,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,39.53488540649414,30.23255729675293,35.71428680419922,35.71428680419922,25.581396102905273,30.23255729675293,23.809524536132813,34.88372039794922,21.95121955871582,23.809524536132813,37.20930099487305,21.428571701049805,10249.807312011719,85663.45690917969,67653.65167236328,88.93536376953125,16567197696,2147479552,2308595712,524288
199,1740642750256,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,39.53488540649414,30.23255729675293,35.71428680419922,35.71428680419922,25.581396102905273,30.23255729675293,23.809524536132813,34.88372039794922,21.95121955871582,23.809524536132813,37.20930099487305,21.428571701049805,10249.80810546875,85663.46398925781,67653.6566772461,88.93536376953125,16567197696,2147479552,2308595712,524288
199,1740642750456,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,21.052631378173828,5,18.18181800842285,20,0,38.095237731933594,10,5,0,0,28.571430206298828,0,10249.930847167969,85664.38934326172,67654.3505859375,88.93536376953125,16567197696,2147479552,2306965504,524288
199,1740642750657,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,0,10,10.526315689086914,21.052631378173828,5,5,0,0,9.523809432983398,0,40,26.3157901763916,10250.048706054688,85665.3002319336,67655.05139160156,88.93536376953125,16567197696,2147479552,2308583424,524288
199,1740642750857,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,9.523809432983398,26.3157901763916,25,0,0,0,0,47.619049072265625,0,0,0,26.3157901763916,10250.170532226563,85666.18310546875,67655.76440429688,88.93536376953125,16567197696,2147479552,2310303744,524288
199,1740642751057,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,9.523809432983398,26.3157901763916,25,0,0,0,0,47.619049072265625,0,0,0,26.3157901763916,10250.297546386719,85667.2427368164,67656.60565185547,88.93536376953125,16567197696,2147479552,2312585216,524288
199,1740642751257,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,32.5,10.256410598754883,34.21052551269531,27.5,23.076923370361328,17.5,10,10.526315689086914,0,2.5641026496887207,17.5,33.333335876464844,10250.428955078125,85668.34899902344,67657.4603881836,88.93536376953125,16567197696,2147479552,2312486912,524288
199,1740642751457,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,25,10,15.000000953674316,21.052631378173828,23.809524536132813,15.789472579956055,5.263157844543457,5,5,23.809524536132813,5.263157844543457,55,10250.558959960938,85669.43292236328,67658.29870605469,88.93536376953125,16567197696,2147479552,2315759616,524288
199,1740642751657,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,25,10,15.000000953674316,21.052631378173828,23.809524536132813,15.789472579956055,5.263157844543457,5,5,23.809524536132813,5.263157844543457,55,10250.687377929688,85670.5365600586,67659.15930175781,88.93536376953125,16567197696,2147479552,2318831616,524288
199,1740642751857,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,28.947368621826172,15.789472579956055,15.384615898132324,23.076923370361328,15.000000953674316,15.384615898132324,10,7.500000476837158,5,0,33.333335876464844,42.5,10250.818176269531,85671.6655883789,67660.03784179688,88.93536376953125,16567197696,2147479552,2310684672,524288
199,1740642752057,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,31.57894515991211,15.000000953674316,45,25,47.36842346191406,10.526315689086914,0,10,0,5,5,5.263157844543457,10250.947021484375,85672.76678466797,67660.89221191406,88.93536376953125,16567197696,2147479552,2313613312,524288
199,1740642752257,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,31.57894515991211,15.000000953674316,45,25,47.36842346191406,10.526315689086914,0,10,0,5,5,5.263157844543457,10251.077758789063,85673.8764038086,67661.75085449219,88.93536376953125,16567197696,2147479552,2317221888,524288
199,1740642752457,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,20,20,5.405405521392822,0,22.5,52.499996185302734,12.820513725280762,25.641027450561523,2.702702760696411,17.948719024658203,20,2.5,10251.207763671875,85674.96813964844,67662.59661865234,88.93536376953125,16567197696,2147479552,2317975552,524288
199,1740642752658,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,10,25,9.523809432983398,19.047618865966797,30.000001907348633,47.36842346191406,23.809524536132813,5.263157844543457,25,5,25,9.523809432983398,10251.337036132813,85676.09100341797,67663.47412109375,88.93536376953125,16567197696,2147479552,2318721024,524288
199,1740642752858,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,10,25,9.523809432983398,19.047618865966797,30.000001907348633,47.36842346191406,23.809524536132813,5.263157844543457,25,5,25,9.523809432983398,10251.465270996094,85677.18347167969,67664.31787109375,88.93536376953125,16567197696,2147479552,2319470592,524288
199,1740642753058,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,18.421052932739258,28.205129623413086,5.263157844543457,12.820513725280762,20,51.28205490112305,17.5,23.076923370361328,15.000000953674316,5.128205299377441,2.4390242099761963,5.128205299377441,10251.59423828125,85678.29205322266,67665.18060302734,88.93536376953125,16567197696,2147479552,2309140480,524288
199,1740642753258,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,15.000000953674316,47.36842346191406,0,0,26.3157901763916,50,15.789472579956055,5.263157844543457,26.3157901763916,10,0,5,10251.724426269531,85679.40435791016,67666.04626464844,88.93536376953125,16567197696,2147479552,2314440704,524288
199,1740642753458,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,10.526315689086914,35,10,33.333335876464844,25,36.842105865478516,25,10.526315689086914,0,5.263157844543457,0,9.523809432983398,10251.861999511719,85680.50671386719,67666.890625,88.93536376953125,16567197696,2147479552,2314735616,524288
199,1740642753658,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,15.000000953674316,21.052631378173828,20,31.57894515991211,50,20,0,10,9.523809432983398,10,10,30.000001907348633,10251.990600585938,85681.60443115234,67667.74114990234,88.93536376953125,16567197696,2147479552,2318323712,524288
199,1740642753858,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,21.052631378173828,10,20,10,50,45,0,0,0,26.3157901763916,10,5.555555820465088,10252.119018554688,85682.71008300781,67668.60064697266,88.93536376953125,16567197696,2147479552,2318786560,524288
199,1740642754058,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,21.052631378173828,10,20,10,50,45,0,0,0,26.3157901763916,10,5.555555820465088,10252.247619628906,85683.81719970703,67669.45983886719,88.93536376953125,16567197696,2147479552,2317164544,524288
199,1740642754258,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,15.789472579956055,30.000001907348633,0,35,10,20,40,5,9.523809432983398,5,21.052631378173828,15.789472579956055,10252.377868652344,85684.91583251953,67670.31280517578,88.93536376953125,16567197696,2147479552,2317881344,524288
199,1740642754458,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,15.789472579956055,30.000001907348633,0,35,10,20,40,5,9.523809432983398,5,21.052631378173828,15.789472579956055,10252.50732421875,85685.9985961914,67671.14569091797,88.93536376953125,16567197696,2147479552,2322497536,524288
199,1740642754658,1199,1200,1199,1199,1199,1199,1200,1199,1200,1200,1200,1199,5.128205299377441,4.878048419952393,17.948719024658203,2.5641026496887207,30.000001907348633,15.789472579956055,35.897438049316406,21.052631378173828,23.076923370361328,18.91891860961914,10.256410598754883,17.5,10252.636352539063,85687.083984375,67671.98553466797,88.93536376953125,16567197696,2147479552,2314235904,524288
