Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740649749046,1201,1200,1201,1200,1201,1200,1199,1200,1200,1200,1200,1225,18.518518447875977,11.111111640930176,3.846153974533081,7.692307949066162,10.714285850524902,30.76923179626465,28.571430206298828,7.407407283782959,32.14285659790039,19.230770111083984,7.692307949066162,29.629629135131836,14464.529296875,119103.4057006836,94471.13092041016,124.36505126953125,16567197696,2147479552,2628644864,786432
199,1740649749046,1201,1200,1201,1200,1201,1200,1199,1200,1200,1200,1200,1225,18.518518447875977,11.111111640930176,3.846153974533081,7.692307949066162,10.714285850524902,30.76923179626465,28.571430206298828,7.407407283782959,32.14285659790039,19.230770111083984,7.692307949066162,29.629629135131836,14464.530090332031,119103.41192626953,94471.13592529297,124.36505126953125,16567197696,2147479552,2628644864,786432
199,1740649749246,1201,1200,1201,1200,1201,1200,1199,1200,1200,1200,1200,1225,0,20,0,28.571430206298828,0,23.809524536132813,30.000001907348633,20,0,15.000000953674316,0,0,14464.649047851563,119104.27655029297,94471.8314819336,124.36505126953125,16567197696,2147479552,2629677056,786432
199,1740649749446,1201,1200,1201,1200,1201,1200,1199,1200,1200,1200,1200,1225,30.000001907348633,10,0,0,0,15.789472579956055,50,65,0,0,5,0,14464.766906738281,119105.20178222656,94472.58618164063,124.36505126953125,16567197696,2147479552,2628907008,786432
199,1740649749646,1201,1200,1201,1200,1201,1200,1199,1200,1200,1200,1200,1225,10.526315689086914,5,4.761904716491699,30.000001907348633,0,21.052631378173828,10,0,9.523809432983398,33.333335876464844,10,0,14464.888305664063,119106.0551147461,94473.26403808594,124.36505126953125,16567197696,2147479552,2632417280,786432
199,1740649749847,1201,1200,1201,1200,1201,1200,1199,1200,1200,1200,1200,1225,45,20,0,33.333335876464844,5.263157844543457,25,0,0,0,0,0,0,14465.005554199219,119106.8998413086,94473.93969726563,124.36505126953125,16567197696,2147479552,2628694016,786432
199,1740649750047,1201,1200,1201,1200,1201,1200,1199,1200,1200,1200,1200,1225,0,25,0,21.052631378173828,9.523809432983398,25,25,9.090909004211426,0,0,10,0,14465.123901367188,119107.73034667969,94474.60034179688,124.36505126953125,16567197696,2147479552,2615603200,786432
199,1740649750247,1201,1200,1201,1200,1201,1200,1199,1200,1200,1200,1200,1225,10.526315689086914,35,0,0,0,11.111111640930176,25,84.21052551269531,0,0,30.000001907348633,0,14465.243041992188,119108.68725585938,94475.38507080078,124.36505126953125,16567197696,2147479552,2617667584,786432
199,1740649750447,1201,1200,1201,1200,1201,1200,1199,1200,1200,1200,1200,1225,20,20,30.000001907348633,0,22.22222328186035,25,0,0,0,0,0,10.526315689086914,14465.36572265625,119109.52899169922,94476.05725097656,124.36505126953125,16567197696,2147479552,2616303616,786432
199,1740649750647,1201,1200,1201,1200,1201,1200,1199,1200,1200,1200,1200,1225,50,5.263157844543457,0,10,28.571430206298828,20,0,0,0,0,4.761904716491699,0,14465.481750488281,119110.36334228516,94476.72155761719,124.36505126953125,16567197696,2147479552,2617266176,786432
