Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740649622922,2300,2300,2300,2300,1488,1488,1488,1488,1488,2300,2300,1488,2300,2300,2300,2300,1506,2300,2300,1506,0,0,0,0,0,0,0,0,27.005813598632813,0,0,0,0,0,46.37997055053711,0,17.961936950683594,0,0,0,0,245896.79614257813,202635.27368164063,53.8746337890625,16794431488,6979321856,8588124160,0
200,1740649622922,2300,2300,2300,2300,1488,1488,1488,1488,1488,2300,2300,1488,2300,2300,2300,2300,1506,2300,2300,1506,26.089706420898438,26.089706420898438,26.093582153320313,26.09229278564453,40.62818908691406,25.773292541503906,25.770706176757813,25.766830444335938,69.68707275390625,25.972183227539063,25.952804565429688,25.948936462402344,26.085830688476563,26.085830688476563,98.68912506103516,25.513694763183594,66.98782348632813,25.536941528320313,27.40833282470703,26.691551208496094,0,245896.86700439453,202635.28204345703,53.8746337890625,16794431488,6979321856,8588165120,0
199,1740649623122,2300,2300,2300,2300,1488,1488,1488,1488,1488,2300,2300,1488,2300,2300,2300,2300,1506,2300,2300,1506,0.678436279296875,0.6878204345703125,1.0958786010742188,0.6754684448242188,0.7069778442382813,0.6791229248046875,0.6789779663085938,0.6788330078125,0.6762619018554688,0.67596435546875,0.6758651733398438,0.6754226684570313,0.67779541015625,0.6775970458984375,26.669654846191406,0.6767578125,21.749893188476563,0.6846084594726563,1.8197402954101563,0.6758193969726563,0,245897.71954345703,202635.53228759766,53.8746337890625,16794431488,6979321856,8588267520,0
199,1740649623323,2300,2300,2300,2300,1488,1488,1488,1488,1488,2300,2300,1488,2300,2300,2300,2300,1506,2300,2300,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.698532104492188,0,0.27954864501953125,0,0,0,0,245898.1328125,202635.5672607422,53.8746337890625,16794431488,6979321856,8588062720,0
200,1740649623523,2300,2300,2300,2300,1488,1488,1488,1488,1488,2300,2300,1488,2300,2300,2300,2300,1506,2300,2300,1506,0,0,6.4362030029296875,0,2.761932373046875,0,0,0,14.557037353515625,4.480995178222656,0,0,0,0,21.659568786621094,0,21.249313354492188,0,4.852043151855469,0,0,245899.44311523438,202636.50561523438,53.88250732421875,16794431488,6979321856,8588320768,0
200,1740649623723,2300,2300,2300,2300,1488,1488,1488,1488,1488,2300,2300,1488,2300,2300,2300,2300,1506,2300,2300,1506,4.38446044921875,1.5604171752929688,4.8895111083984375,1.490936279296875,10.078887939453125,1.4869384765625,1.4866409301757813,1.4864883422851563,6.9622955322265625,15.56402587890625,2.1430587768554688,1.5889816284179688,1.4986495971679688,1.85302734375,46.439659118652344,1.4663314819335938,61.12098693847656,1.4700851440429688,16.202362060546875,1.475372314453125,0,245903.43896484375,202639.62469482422,53.891845703125,16794431488,6979321856,8591458304,0
200,1740649623923,2300,2300,2300,2300,1488,1488,1488,1488,1488,2300,2300,1488,2300,2300,2300,2300,1506,2300,2300,1506,6.083717346191406,0,7.61480712890625,0,13.887405395507813,0,0,0,8.777969360351563,2.7880477905273438,0,0,8.919761657714844,0.25070953369140625,41.1784782409668,0,62.22841262817383,0,9.194747924804688,0,0,245908.39379882813,202643.68060302734,53.891845703125,16794431488,6979321856,8591007744,0
199,1740649624124,2300,2300,2300,2300,1488,1488,1488,1488,1488,2300,2300,1488,2300,2300,2300,2300,1506,2300,2300,1506,0.04372406005859375,0,0,0,0,0,0,0,0,0,0,0,0,0.9201812744140625,52.70675277709961,0,56.60859298706055,0,0,0,0,245912.42901611328,202646.92907714844,53.8927001953125,16794431488,6979321856,8591007744,0
200,1740649624324,2300,2300,2300,2300,1488,1488,1488,1488,1488,2300,2300,1488,2300,2300,2300,2300,1506,2300,2300,1506,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31540679931640625,50.6248779296875,0,55.5867919921875,0,0,0,0,245916.98822021484,202651.09521484375,53.8927001953125,16794431488,6979321856,8591007744,0
200,1740649624524,2300,2300,2300,2300,1488,1488,1488,1488,1488,2300,2300,1488,2300,2300,2300,2300,1506,2300,2300,1506,1.2687530517578125,1.1778030395507813,1.1847686767578125,1.184722900390625,1.1845245361328125,1.1846237182617188,1.1845703125,1.1844253540039063,1.3047714233398438,1.173309326171875,1.1728134155273438,1.1729660034179688,1.1724700927734375,2.0997543334960938,46.09930419921875,1.1704940795898438,59.67109680175781,1.17083740234375,1.1823959350585938,1.1823959350585938,0,245921.1675415039,202654.46392822266,53.8935546875,16794431488,6979321856,8591269888,0
