Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740640293117,1506,2300,2300,2300,1488,1488,2300,2300,1488,1488,1488,1488,2300,2300,2300,2300,2300,2300,1506,2300,47.3000373840332,25.124000549316406,83.09637451171875,25.49852752685547,25.887100219726563,25.88610076904297,25.877059936523438,25.874046325683594,25.7706298828125,31.680625915527344,25.76360321044922,25.764602661132813,25.19830322265625,25.203323364257813,25.027610778808594,69.93995666503906,99.55921173095703,25.34088134765625,25.378036499023438,87.00825500488281,0,114344.74279785156,94419.76531982422,30.5736083984375,16794431488,6979321856,6861135872,0
200,1740640293117,1506,2300,2300,2300,1488,1488,2300,2300,1488,1488,1488,1488,2300,2300,2300,2300,2300,2300,1506,2300,11.838325500488281,0.1929168701171875,70.61591339111328,0,0.26537322998046875,0.27101898193359375,0.3237152099609375,0.4102935791015625,0.32183837890625,45.6923713684082,0.3877105712890625,0.49593353271484375,0,0,0,100,18.797348022460938,0,0,46.643768310546875,0,114345.17980957031,94420.15893554688,30.5736083984375,16794431488,6979321856,6862909440,0
200,1740640293318,1506,2300,2300,2300,1488,1488,2300,2300,1488,1488,1488,1488,2300,2300,2300,2300,2300,2300,1506,2300,15.274848937988281,0,0,0,0,0,0,0,0,0.18003082275390625,0,0,0,0,0,32.507179260253906,24.680572509765625,0,0,2.7632827758789063,0,114346.43395996094,94420.70196533203,30.573974609375,16794431488,6979321856,6867251200,0
199,1740640293518,1506,2300,2300,2300,1488,1488,2300,2300,1488,1488,1488,1488,2300,2300,2300,2300,2300,2300,1506,2300,21.023788452148438,1.7526931762695313,1.733856201171875,1.7061080932617188,1.7085723876953125,1.7083358764648438,1.7081375122070313,1.7077484130859375,1.7097396850585938,1.7274169921875,1.7097854614257813,1.7089614868164063,1.7076568603515625,1.8465423583984375,1.7122039794921875,14.916191101074219,18.722801208496094,1.7159347534179688,1.705963134765625,1.7287673950195313,0,114347.27813720703,94420.92565917969,30.573974609375,16794431488,6979321856,6866264064,0
200,1740640293718,1506,2300,2300,2300,1488,1488,2300,2300,1488,1488,1488,1488,2300,2300,2300,2300,2300,2300,1506,2300,2.3265380859375,0.14542388916015625,3.62091064453125,0,10.512657165527344,0,0,0,0,26.051719665527344,4.9248504638671875,0.12227630615234375,0,0,0,33.42558288574219,19.057647705078125,0,0,4.532890319824219,0,114349.30236816406,94422.41961669922,30.5838623046875,16794431488,6979321856,6872465408,0
200,1740640293919,1506,2300,2300,2300,1488,1488,2300,2300,1488,1488,1488,1488,2300,2300,2300,2300,2300,2300,1506,2300,17.8271484375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.940216064453125,53.97900390625,0,0,2.620880126953125,0,114353.31756591797,94425.62469482422,30.59130859375,16794431488,6979321856,6890381312,0
200,1740640294119,1506,2300,2300,2300,1488,1488,2300,2300,1488,1488,1488,1488,2300,2300,2300,2300,2300,2300,1506,2300,29.02312469482422,0,0,0,1.6417694091796875,0,0,0,0,6.7999420166015625,7.403045654296875,0,0,0,0,61.806121826171875,45.815895080566406,0,0,11.484169006347656,0,114357.9712524414,94429.56677246094,30.59130859375,16794431488,6979321856,6890000384,0
200,1740640294319,1506,2300,2300,2300,1488,1488,2300,2300,1488,1488,1488,1488,2300,2300,2300,2300,2300,2300,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5944976806640625,0,55.91996765136719,51.1678466796875,0,0,0,0,114361.8265991211,94432.93450927734,30.59130859375,16794431488,6979321856,6885105664,0
200,1740640294519,1506,2300,2300,2300,1488,1488,2300,2300,1488,1488,1488,1488,2300,2300,2300,2300,2300,2300,1506,2300,1.0617446899414063,1.0081710815429688,1.0031967163085938,1.0032501220703125,1.0174102783203125,1.0172653198242188,1.0168685913085938,1.0159683227539063,1.0117950439453125,1.2263107299804688,1.0120925903320313,1.0115509033203125,1.0030975341796875,1.9310455322265625,1.0009613037109375,48.90612030029297,57.7578125,1.0016098022460938,1.0035934448242188,1.0033493041992188,0,114366.59558105469,94436.90106201172,30.59228515625,16794431488,6979321856,6884208640,0
199,1740640294720,1506,2300,2300,2300,1488,1488,2300,2300,1488,1488,1488,1488,2300,2300,2300,2300,2300,2300,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.833641052246094,59.98183059692383,0,0,5.905586242675781,0,114371.53930664063,94441.18475341797,30.59228515625,16794431488,6979321856,6880047104,0
