Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740735536530,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,4.1863861083984375,4.253135681152344,9.108222961425781,4.1790618896484375,8.031303405761719,4.196968078613281,4.195747375488281,4.197784423828125,23.144393920898438,71.65294647216797,3.9104461669921875,3.9080047607421875,4.192901611328125,4.193717956542969,45.45891189575195,4.114753723144531,99.73341369628906,4.1790618896484375,31.711715698242188,4.1294097900390625,0,56151.22735595703,22310.890014648438,4548.036071777344,16794431488,6979321856,7333040128,0
200,1740735536530,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,19.05944061279297,19.065574645996094,18.786598205566406,18.786598205566406,18.86017608642578,18.86017608642578,18.854042053222656,18.850975036621094,19.375213623046875,100,19.405868530273438,19.412002563476563,19.083969116210938,19.0870361328125,92.75575256347656,18.936813354492188,100,18.88776397705078,100,18.774337768554688,0,56151.23944091797,22310.890014648438,4548.036071777344,16794431488,6979321856,7333822464,0
200,1740735536731,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,4.68109130859375,0.07965850830078125,6.629570007324219,0.10587310791015625,5.4024810791015625,0.0965576171875,0.09645843505859375,0.09621429443359375,13.99835205078125,10.944129943847656,0.5804367065429688,4.586456298828125,3.0391998291015625,0.08133697509765625,35.117095947265625,0.09375,22.9395751953125,0.1286773681640625,29.789649963378906,0.0830078125,0,56154.219177246094,22313.34490966797,4548.036071777344,16794431488,6979321856,7359946752,0
199,1740735536932,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.128692626953125,0,8.950469970703125,0,0,0,0,56154.85534667969,22313.37664794922,4548.036437988281,16794431488,6979321856,7358631936,0
200,1740735537132,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,3.3430328369140625,0.45465087890625,8.178108215332031,0,10.358566284179688,0,0,0,16.427505493164063,2.10968017578125,4.191802978515625,0,3.4568405151367188,0,38.887603759765625,0,30.344154357910156,0,10.734268188476563,0,0,56157.4345703125,22315.270385742188,4548.0438232421875,16794431488,6979321856,7369469952,0
200,1740735537332,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,0.986785888671875,0,0.6948471069335938,0,1.3227767944335938,0,0,0,0.9496841430664063,0,0,0,0,0.092987060546875,50.61559295654297,0,52.144065856933594,0,0.00374603271484375,0,0,56161.49920654297,22318.640747070313,4548.047668457031,16794431488,6979321856,7369900032,0
200,1740735537532,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,1.478790283203125,1.317535400390625,1.3165969848632813,1.3165512084960938,1.4625473022460938,1.3235092163085938,1.3233108520507813,1.323211669921875,1.4634857177734375,1.3234634399414063,1.3230667114257813,1.3232650756835938,1.3063278198242188,2.1821670532226563,50.23267364501953,1.31561279296875,59.1619987487793,1.31561279296875,1.3222732543945313,1.31610107421875,0,56165.64141845703,22322.15283203125,4548.047668457031,16794431488,6979321856,7363117056,0
200,1740735537733,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,0.09517669677734375,0,0,0,0,0,0,0,0,0,0,0,0,0.7627334594726563,42.379600524902344,0,63.14014434814453,0,0,0,0,56170.05944824219,22325.95001220703,4548.047668457031,16794431488,6979321856,7362621440,0
200,1740735537933,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7220993041992188,42.73341751098633,0,62.57515335083008,0,0,0,0,56173.678649902344,22328.95916748047,4548.0482177734375,16794431488,6979321856,7363366912,0
200,1740735538133,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,0,0,0,0,0.0133514404296875,0,0,0,0.14068603515625,0,0,0,0,0.7895431518554688,42.886207580566406,0,62.68758773803711,0,0,0,0,56178.07293701172,22332.75018310547,4548.0482177734375,16794431488,6979321856,7363248128,0
199,1740735538333,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,0.00576019287109375,0,0,0,0,0,0,0,0,0,0,0,0,0.8287200927734375,43.93963623046875,0,61.625980377197266,0,0,0,0,56182.36657714844,22336.440490722656,4548.0482177734375,16794431488,6979321856,7363092480,0
200,1740735538534,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,2.0357894897460938,0.9253768920898438,2.15960693359375,0.915008544921875,1.6333770751953125,0.9082107543945313,0.9079132080078125,0.90667724609375,4.3044891357421875,1.6638336181640625,2.2753448486328125,1.9925308227539063,0.9253768920898438,1.8185577392578125,50.553592681884766,0.9124298095703125,67.87135314941406,0.9039459228515625,5.545616149902344,0.9028549194335938,0,56187.392639160156,22340.794982910156,4548.0482177734375,16794431488,6979321856,7364263936,0
199,1740735538734,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,6.391937255859375,0.15923309326171875,3.5476303100585938,0.15484619140625,2.496307373046875,0.1570892333984375,0.15728759765625,0.15699005126953125,3.22283935546875,3.5123138427734375,0.1702423095703125,0.1702423095703125,0.1602783203125,0.6576461791992188,57.85470962524414,0.1419525146484375,50.94099807739258,0.14777374267578125,15.879653930664063,0.16281890869140625,0,56192.21936035156,22344.942932128906,4548.0482177734375,16794431488,6979321856,7365734400,0
200,1740735538934,2300,2300,1506,2300,1488,1488,1488,2300,1488,2300,2300,1488,2300,2300,1506,2300,2300,2300,2300,2300,1.2635726928710938,0.33446502685546875,2.8456649780273438,0.31572723388671875,0.3272247314453125,0.32682037353515625,0.326324462890625,0.32587432861328125,0.576751708984375,0.3372650146484375,0.33701324462890625,0.33636474609375,0.46332550048828125,1.0598602294921875,54.76545715332031,0.32312774658203125,53.995792388916016,0.34906005859375,3.5465774536132813,0.31113433837890625,0,56196.754638671875,22348.81170654297,4548.0531005859375,16794431488,6979321856,7356862464,0
