Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740558707282,2300,2300,2300,2300,2300,2300,1488,1488,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,12.953582763671875,12.953582763671875,12.963539123535156,12.963539123535156,12.826606750488281,12.814163208007813,60.214359283447266,12.626190185546875,54.357486724853516,12.348602294921875,12.342376708984375,12.339881896972656,13.004615783691406,13.004615783691406,12.980964660644531,12.979721069335938,100,12.6025390625,12.984703063964844,12.98345947265625,0,239419.44970703125,85982.9409790039,1039.4737548828125,16794431488,8047271936,9866956800,0
200,1740558707282,2300,2300,2300,2300,2300,2300,1488,1488,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,8.53466796875,8.531639099121094,8.504386901855469,8.504386901855469,8.150169372558594,8.141082763671875,24.865272521972656,9.346046447753906,100,9.821372985839844,9.80926513671875,9.803207397460938,8.537689208984375,8.53466796875,8.825309753417969,8.471084594726563,99.6003646850586,7.844383239746094,8.525581359863281,8.522552490234375,0,239419.4609375,85983.02233886719,1039.4737548828125,16794431488,8047271936,9867321344,0
200,1740558707483,2300,2300,2300,2300,2300,2300,1488,1488,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0.8120880126953125,0,6.751243591308594,0,9.360115051269531,0,0,0,0,239420.09924316406,85983.11907958984,1039.4751586914063,16794431488,8047271936,9862852608,0
199,1740558707683,2300,2300,2300,2300,2300,2300,1488,1488,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,2.3583755493164063,1.949462890625,1.9069595336914063,1.9068145751953125,1.9050140380859375,1.9049148559570313,3.449798583984375,1.9042816162109375,1.9048690795898438,1.9048690795898438,1.9046249389648438,1.9041900634765625,2.0075836181640625,1.9081802368164063,4.871315002441406,1.9038925170898438,20.067970275878906,1.9392852783203125,1.9081802368164063,1.9081344604492188,0,239420.49658203125,85983.1908569336,1039.4751586914063,16794431488,8047271936,9860796416,0
200,1740558707884,2300,2300,2300,2300,2300,2300,1488,1488,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0.42002105712890625,0.00972747802734375,0,0,0,0,0,0,0,0,0,0,0,0,1.57855224609375,0,15.0599365234375,0.0024566650390625,0,0,0,239420.79455566406,85983.2232055664,1039.4755859375,16794431488,8047271936,9860644864,0
199,1740558708085,2300,2300,2300,2300,2300,2300,1488,1488,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0.51458740234375,0.11637115478515625,0.0899505615234375,0.0897979736328125,0.09720611572265625,0.09696197509765625,7.545982360839844,0.0960235595703125,0.09221649169921875,0.09256744384765625,0.0921173095703125,0.09152984619140625,0.08950042724609375,0.08935546875,5.755043029785156,0.09325408935546875,15.038818359375,0.0806121826171875,0.093109130859375,0.0929107666015625,0,239421.30975341797,85983.27459716797,1039.4755859375,16794431488,8047271936,9859620864,0
199,1740558708285,2300,2300,2300,2300,2300,2300,1488,1488,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0.875213623046875,0.5745010375976563,0.4881134033203125,0.4881591796875,0.4889678955078125,0.4885101318359375,0.488311767578125,0.4882659912109375,0.48856353759765625,0.4885101318359375,0.48836517333984375,0.48836517333984375,0.6768112182617188,0.5214767456054688,2.465484619140625,0.48549652099609375,20.60808563232422,0.48188018798828125,0.763397216796875,0.48680877685546875,0,239421.92059326172,85983.3413696289,1039.4755859375,16794431488,8047271936,9859518464,0
199,1740558708486,2300,2300,2300,2300,2300,2300,1488,1488,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0.8972015380859375,0.45532989501953125,0.4537506103515625,0.4535980224609375,0.45226287841796875,0.45196533203125,0.45206451416015625,0.45146942138671875,0.45047760009765625,0.44840240478515625,0.44824981689453125,0.4478607177734375,0.45568084716796875,0.45548248291015625,0.7772903442382813,0.4545440673828125,10.837989807128906,0.45107269287109375,0.4537506103515625,0.4535980224609375,0,239422.21240234375,85983.36798095703,1039.4757690429688,16794431488,8047271936,9859305472,0
199,1740558708686,2300,2300,2300,2300,2300,2300,1488,1488,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.502456665039063,0,0,0,0,239422.52178955078,85983.42169189453,1039.4757690429688,16794431488,8047271936,9859014656,0
200,1740558708886,2300,2300,2300,2300,2300,2300,1488,1488,1488,2300,2300,2300,1506,2300,2300,2300,2300,2300,1506,2300,4.259765625,0,6.2172393798828125,0,0,0,14.845062255859375,0,6.6901702880859375,0,0,0,13.920448303222656,0,22.078460693359375,0,41.51317596435547,0,11.448631286621094,0,0,239424.78173828125,85985.15942382813,1039.48681640625,16794431488,8047271936,9871454208,0
