Filename,engine,db_size,iteration,Joules
joule_experiment_mysql_1000_1.txt,mysql,1000,1,112.7523193359375
joule_experiment_mysql_1000_2.txt,mysql,1000,2,116.67620849609375
joule_experiment_mysql_1000_3.txt,mysql,1000,3,115.627685546875
joule_experiment_mysql_1000_4.txt,mysql,1000,4,117.05450439453125
joule_experiment_mysql_1000_5.txt,mysql,1000,5,110.3975830078125
joule_experiment_mysql_1000_6.txt,mysql,1000,6,115.52655029296875
joule_experiment_mysql_1000_7.txt,mysql,1000,7,109.7835693359375
joule_experiment_mysql_1000_8.txt,mysql,1000,8,107.80718994140625
joule_experiment_mysql_1000_9.txt,mysql,1000,9,111.3148193359375
joule_experiment_mysql_1000_10.txt,mysql,1000,10,114.96533203125
joule_experiment_mysql_1000_11.txt,mysql,1000,11,117.087646484375
joule_experiment_mysql_1000_12.txt,mysql,1000,12,114.760009765625
joule_experiment_mysql_1000_13.txt,mysql,1000,13,108.051025390625
joule_experiment_mysql_1000_14.txt,mysql,1000,14,113.41253662109375
joule_experiment_mysql_1000_15.txt,mysql,1000,15,119.0328369140625
joule_experiment_mysql_1000_16.txt,mysql,1000,16,112.73876953125
joule_experiment_mysql_1000_17.txt,mysql,1000,17,120.567626953125
joule_experiment_mysql_1000_18.txt,mysql,1000,18,119.416748046875
joule_experiment_mysql_1000_19.txt,mysql,1000,19,117.61175537109375
joule_experiment_mysql_1000_20.txt,mysql,1000,20,113.9124755859375
joule_experiment_mysql_1000_21.txt,mysql,1000,21,112.949951171875
joule_experiment_mysql_1000_22.txt,mysql,1000,22,112.92669677734375
joule_experiment_mysql_1000_23.txt,mysql,1000,23,108.619140625
joule_experiment_mysql_1000_24.txt,mysql,1000,24,112.5546875
joule_experiment_mysql_1000_25.txt,mysql,1000,25,116.14910888671875
joule_experiment_mysql_1000_26.txt,mysql,1000,26,107.041748046875
joule_experiment_mysql_1000_27.txt,mysql,1000,27,112.7818603515625
joule_experiment_mysql_1000_28.txt,mysql,1000,28,113.6181640625
joule_experiment_mysql_1000_29.txt,mysql,1000,29,118.58587646484375
joule_experiment_mysql_1000_30.txt,mysql,1000,30,114.68731689453125
joule_experiment_mysql_10000_1.txt,mysql,10000,1,129.59625244140625
joule_experiment_mysql_10000_2.txt,mysql,10000,2,125.68798828125
joule_experiment_mysql_10000_3.txt,mysql,10000,3,129.9364013671875
joule_experiment_mysql_10000_4.txt,mysql,10000,4,128.98101806640625
joule_experiment_mysql_10000_5.txt,mysql,10000,5,126.27880859375
joule_experiment_mysql_10000_6.txt,mysql,10000,6,123.7974853515625
joule_experiment_mysql_10000_7.txt,mysql,10000,7,124.80096435546875
joule_experiment_mysql_10000_8.txt,mysql,10000,8,130.23583984375
joule_experiment_mysql_10000_9.txt,mysql,10000,9,132.11944580078125
joule_experiment_mysql_10000_10.txt,mysql,10000,10,125.82720947265625
joule_experiment_mysql_10000_11.txt,mysql,10000,11,129.4849853515625
joule_experiment_mysql_10000_12.txt,mysql,10000,12,127.5565185546875
joule_experiment_mysql_10000_13.txt,mysql,10000,13,127.84295654296875
joule_experiment_mysql_10000_14.txt,mysql,10000,14,135.106689453125
joule_experiment_mysql_10000_15.txt,mysql,10000,15,128.36614990234375
joule_experiment_mysql_10000_16.txt,mysql,10000,16,131.6966552734375
joule_experiment_mysql_10000_17.txt,mysql,10000,17,127.5255126953125
joule_experiment_mysql_10000_18.txt,mysql,10000,18,128.654296875
joule_experiment_mysql_10000_19.txt,mysql,10000,19,129.857421875
joule_experiment_mysql_10000_20.txt,mysql,10000,20,127.28216552734375
joule_experiment_mysql_10000_21.txt,mysql,10000,21,125.26708984375
joule_experiment_mysql_10000_22.txt,mysql,10000,22,126.2659912109375
joule_experiment_mysql_10000_23.txt,mysql,10000,23,131.5625
joule_experiment_mysql_10000_24.txt,mysql,10000,24,129.34979248046875
joule_experiment_mysql_10000_25.txt,mysql,10000,25,131.9293212890625
